Term,# Equality Checks,Min Node Count,Max Node Count,Avg Node Count,Stdev Node Count
App,53752,1,28,2.986382,2.601936198936746
Or,1088,3,17,5.678309,2.765238761871432
Quantification,790581,3,19,6.7642026,2.425122255999266
AtMost,70158,2,14,2.6699164,1.445608984977653
SeqIn,4,2,3,2.25,0.4330127018922193
Var,49221,1,1,1.0,0.0
PermTimes,4,2,3,2.25,0.4330127018922193
SetCardinality,12,3,3,3.0,0.0
FullPerm,4538,1,1,1.0,0.0
Implies,92181,3,18,6.2077975,2.7237958014717685
SeqAt,268,2,8,2.5485075,0.8775157185855682
AtLeast,6,2,3,2.5,0.5
PermLess,13473,2,11,2.3336303,0.8835299117201266
SeqSingleton,3,2,6,4.6666665,1.8856180269683278
SeqDrop,10,2,5,3.4,1.3564659649874418
Lookup,1250,2,13,2.6792,1.4401123524916633
IntLiteral,6870,1,1,1.0,0.0
PredicateLookup,4,2,10,4.5,3.278719262151
First,4600,2,26,3.623913,2.4978636196465
BuiltinEquals,1337179,2,28,5.76878,2.8719097612703437
Plus,526,2,9,3.8954372,1.1726016017269807
Less,67592,2,8,2.6804948,1.1343194343682408
SetSubset,98,2,3,2.010204,0.10049857818074596
SeqLength,255,2,15,4.478431,2.880381150720386
PredicateTrigger,49,4,10,4.244898,0.937443445407212
FractionPermLiteral,754,1,1,1.0,0.0
SortWrapper,2520,3,23,6.358333,2.7117743615833656
MultisetCount,3,2,3,2.3333333,0.47140450674208195
PermPlus,103,2,8,3.6019418,1.5030057514814126
NoPerm,4888,1,1,1.0,0.0
Not,241348,2,25,3.7263868,1.9596374579299654
SeqNil,4,1,1,1.0,0.0
PermAtMost,126514,2,9,2.730662,1.2262911162254249
And,8562,3,17,4.4404345,1.6924586028723194
SeqTake,5,3,3,3.0,0.0
Minus,50,2,8,2.56,1.1516942667011638
FieldTrigger,31599,2,16,3.5105226,1.809841837637865
PermIntDiv,2,3,4,3.5,0.5
Combine,46,2,8,2.3043478,1.2312872692218657
SetIn,408,2,4,2.8014705,0.4973438611930797
Iff,17,5,26,7.117647,4.7388560425272335
SeqAppend,22,2,8,3.3636363,1.2629495764488314
MultisetSubset,24,2,3,2.0416667,0.1998262772217796
Null$,6201,1,1,1.0,0.0
Unit$,27314,1,1,1.0,0.0
SeqUpdate,1,4,4,4.0,0.0
Mod,4,2,3,2.25,0.4330127018922193
True$,116435,1,1,1.0,0.0
PermMin,227,3,14,6.290749,1.1396162719894436
PermLookup,135,2,3,2.0074074,0.08574709063611675
CustomEquals,13788,2,19,6.250508,3.3794290656309607
PermMinus,957,2,10,4.492163,1.7029084234160272
Second,10814,2,26,4.19447,2.6552501816343206
Times,48,2,3,2.2291667,0.4202966481449311
FractionPerm,7,3,4,3.142857,0.34992711849589286
IsReadPermVar,61544,2,3,2.0000162,0.00403088204613213
Greater,2,2,3,2.5,0.5
Ite,623,3,26,4.8443017,1.2386825344525678
False$,25086,1,1,1.0,0.0
