"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"viper.silicon.state.terms.BuiltinEquals","1’585’824 B (13.6%)","33’038 (12.8%)","33’038 (7.9%)","274.9","432"
" java.lang.Object.<init> ()","1’585’824 B (13.6%)","33’038 (12.8%)","33’038 (7.9%)","274.9","432"
"  viper.silicon.state.terms.BuiltinEquals.<init> (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","1’585’824 B (13.6%)","33’038 (12.8%)","33’038 (7.9%)","274.9","432"
"   viper.silicon.state.terms.BuiltinEquals$._apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","1’585’824 B (13.6%)","33’038 (12.8%)","33’038 (7.9%)","274.9","432"
"    viper.silicon.state.terms.BuiltinEquals$.apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","1’585’824 B (13.6%)","33’038 (12.8%)","33’038 (7.9%)","274.9","432"
"     viper.silicon.state.terms.Equals$.apply (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","1’538’208 B (13.2%)","32’046 (12.4%)","32’046 (7.7%)","272.6","432"
"      viper.silicon.state.terms.Term.$eq$eq$eq (viper.silicon.state.terms.Term)","1’224’192 B (10.5%)","25’504 (9.9%)","25’504 (6.1%)","265.6","373"
"       viper.silicon.state.terms.Term.$eq$eq$eq$ (viper.silicon.state.terms.Term, viper.silicon.state.terms.Term)","1’224’192 B (10.5%)","25’504 (9.9%)","25’504 (6.1%)","265.6","373"
"        viper.silicon.state.terms.Second.$eq$eq$eq (viper.silicon.state.terms.Term)","264’672 B (2.3%)","5’514 (2.1%)","5’514 (1.3%)","288.1","300"
"         viper.silicon.supporters.DefaultSnapshotSupporter.createSnapshotPair (viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silver.ast.Exp, viper.silver.ast.Exp, viper.silicon.verifier.Verifier)","207’888 B (1.8%)","4’331 (1.7%)","4’331 (1%)","282.2","222"
