"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"viper.silicon.state.terms.App","1’489’056 B (14.4%)","31’022 (13.7%)","72’735 (6.7%)","439.8","505"
" java.lang.Object.<init> ()","1’489’056 B (14.4%)","31’022 (13.7%)","72’731 (6.7%)","439.8","505"
"  viper.silicon.state.terms.App.<init> (viper.silicon.state.terms.Applicable, scala.collection.immutable.Seq)","1’489’056 B (14.4%)","31’022 (13.7%)","72’731 (6.7%)","439.8","505"
"   viper.silicon.state.terms.App$.apply (viper.silicon.state.terms.Applicable, scala.collection.immutable.Seq)","1’489’056 B (14.4%)","31’022 (13.7%)","72’731 (6.7%)","439.8","505"
"    viper.silicon.rules.evaluator$.$anonfun$eval2$28 (viper.silver.ast.DomainFuncApp, String, scala.Function3, viper.silicon.state.State, scala.collection.immutable.List, viper.silicon.verifier.Verifier)","642’048 B (6.2%)","13’376 (5.9%)","38’331 (3.5%)","236.5","309"
"     viper.silicon.rules.evaluator$$$Lambda$1518.1228095180.apply (Object, Object, Object)","642’048 B (6.2%)","13’376 (5.9%)","38’331 (3.5%)","236.5","309"
"      viper.silicon.rules.evaluator$.evals2 (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","642’048 B (6.2%)","13’376 (5.9%)","38’331 (3.5%)","236.5","309"
"       viper.silicon.rules.evaluator$.$anonfun$evals2$1 (scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","637’488 B (6.1%)","13’281 (5.9%)","38’074 (3.5%)","233.0","306"
"        viper.silicon.rules.evaluator$$$Lambda$1519.1790174266.apply (Object, Object, Object)","637’488 B (6.1%)","13’281 (5.9%)","38’074 (3.5%)","233.0","306"
"         viper.silicon.rules.evaluator$.$anonfun$eval$1 (viper.silver.ast.Exp, int, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","637’488 B (6.1%)","13’281 (5.9%)","38’074 (3.5%)","233.0","306"
"          viper.silicon.rules.evaluator$$$Lambda$1476.1019736796.apply (Object, Object, Object)","637’488 B (6.1%)","13’281 (5.9%)","38’074 (3.5%)","233.0","306"
"       viper.silicon.rules.evaluator$.evals (viper.silicon.state.State, scala.collection.immutable.Seq, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","4’560 B (0%)","95 (0%)","257 (0%)","731.7","50"
"        viper.silicon.rules.evaluator$.eval2 (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","4’560 B (0%)","95 (0%)","257 (0%)","731.7","50"
"         viper.silicon.rules.evaluator$.eval3 (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","4’560 B (0%)","95 (0%)","257 (0%)","731.7","50"
"          viper.silicon.rules.evaluator$.eval (viper.silicon.state.State, viper.silver.ast.Exp, viper.silver.verifier.PartialVerificationError, viper.silicon.verifier.Verifier, scala.Function3)","4’560 B (0%)","95 (0%)","257 (0%)","731.7","50"
"    viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","271’776 B (2.6%)","5’662 (2.5%)","13’829 (1.3%)","363.6","194"
