"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"viper.silicon.state.terms.sorts$UserSort","205’560 B (0.9%)","8’565 (1.7%)","162’431 (20.5%)","449.1","371"
" java.lang.Object.<init> ()","205’560 B (0.9%)","8’565 (1.7%)","119’896 (15.2%)","449.1","371"
"  viper.silicon.state.terms.sorts$UserSort.<init> (viper.silicon.state.Identifier)","205’560 B (0.9%)","8’565 (1.7%)","119’896 (15.2%)","449.1","371"
"   viper.silicon.state.DefaultSymbolConverter.toSort (viper.silver.ast.Type)","205’560 B (0.9%)","8’565 (1.7%)","119’896 (15.2%)","449.1","371"
"    viper.silicon.supporters.DefaultDomainsContributor.$anonfun$collectDomainMembers$5 (viper.silicon.supporters.DefaultDomainsContributor, viper.silver.ast.Type)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"     viper.silicon.supporters.DefaultDomainsContributor$$Lambda$1329.1636271267.apply (Object)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"      viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"       viper.silicon.supporters.ExpressionTranslator.translate$ (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"        viper.silicon.supporters.DefaultDomainsTranslator.translate (scala.Function1, viper.silver.ast.Exp)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"         viper.silicon.supporters.ExpressionTranslator.$anonfun$translate$1 (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"          viper.silicon.supporters.ExpressionTranslator$$Lambda$1330.626121666.apply (Object)","10’128 B (0%)","422 (0.1%)","69’323 (8.8%)","713.0","135"
"    viper.silicon.rules.evaluator$.$anonfun$eval2$28 (viper.silver.ast.DomainFuncApp, String, scala.Function3, viper.silicon.state.State, scala.collection.immutable.List, viper.silicon.verifier.Verifier)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"     viper.silicon.rules.evaluator$$$Lambda$1517.389919810.apply (Object, Object, Object)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"      viper.silicon.rules.evaluator$.evals2 (viper.silicon.state.State, scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, viper.silicon.verifier.Verifier, scala.Function3)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"       viper.silicon.rules.evaluator$.$anonfun$evals2$1 (scala.collection.immutable.Seq, scala.collection.immutable.List, scala.Function1, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"        viper.silicon.rules.evaluator$$$Lambda$1518.1437829624.apply (Object, Object, Object)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"         viper.silicon.rules.evaluator$.$anonfun$eval$1 (viper.silver.ast.Exp, int, scala.Function3, viper.silicon.state.State, viper.silicon.state.terms.Term, viper.silicon.verifier.Verifier)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"          viper.silicon.rules.evaluator$$$Lambda$1475.556880449.apply (Object, Object, Object)","648 B (0%)","27 (0%)","19’399 (2.5%)","0.0","1"
"    viper.silicon.supporters.BuiltinDomainAwareSymbolConverter.toSort (viper.silver.ast.Type)","5’496 B (0%)","229 (0%)","7’903 (1%)","1’131.4","5"
"     viper.silicon.supporters.BuiltinDomainAwareSymbolConverter.$anonfun$toSort$1 (viper.silicon.supporters.BuiltinDomainAwareSymbolConverter, viper.silver.ast.Type)","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"      viper.silicon.supporters.BuiltinDomainAwareSymbolConverter$$Lambda$1838.194979348.apply (Object)","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"       scala.collection.Iterator$$anon$9.next ()","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"        scala.collection.immutable.List.prependedAll (scala.collection.IterableOnce)","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"         scala.collection.immutable.List$.from (scala.collection.IterableOnce)","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"          scala.collection.immutable.List$.from (scala.collection.IterableOnce)","3’744 B (0%)","156 (0%)","4’564 (0.6%)","1’136.0","5"
"     viper.silicon.state.DefaultSymbolConverter.toSort (viper.silver.ast.Type)","960 B (0%)","40 (0%)","2’010 (0.3%)","1’112.0","1"
"      viper.silicon.supporters.BuiltinDomainAwareSymbolConverter.toSort (viper.silver.ast.Type)","960 B (0%)","40 (0%)","2’010 (0.3%)","1’112.0","1"
"       viper.silicon.supporters.BuiltinDomainAwareSymbolConverter.$anonfun$toSort$1 (viper.silicon.supporters.BuiltinDomainAwareSymbolConverter, viper.silver.ast.Type)","744 B (0%)","31 (0%)","1’495 (0.2%)","1’112.0","1"
"        viper.silicon.supporters.BuiltinDomainAwareSymbolConverter$$Lambda$1838.194979348.apply (Object)","744 B (0%)","31 (0%)","1’495 (0.2%)","1’112.0","1"
"         scala.collection.Iterator$$anon$9.next ()","744 B (0%)","31 (0%)","1’495 (0.2%)","1’112.0","1"
"          scala.collection.immutable.List.prependedAll (scala.collection.IterableOnce)","744 B (0%)","31 (0%)","1’495 (0.2%)","1’112.0","1"
"       viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$translateAxiom$2 (viper.silicon.supporters.BuiltinDomainsContributor, viper.silver.ast.Type)","96 B (0%)","4 (0%)","490 (0.1%)","1’112.0","1"
"        viper.silicon.supporters.BuiltinDomainsContributor$$Lambda$1842.1013177334.apply (Object)","96 B (0%)","4 (0%)","490 (0.1%)","1’112.0","1"
"         viper.silicon.supporters.ExpressionTranslator.translate (scala.Function1, viper.silver.ast.Exp)","96 B (0%)","4 (0%)","490 (0.1%)","1’112.0","1"
"          viper.silicon.supporters.ExpressionTranslator.translate$ (viper.silicon.supporters.ExpressionTranslator, scala.Function1, viper.silver.ast.Exp)","96 B (0%)","4 (0%)","490 (0.1%)","1’112.0","1"
"       viper.silicon.state.DefaultSymbolConverter.$anonfun$toFunction$2 (viper.silicon.state.DefaultSymbolConverter, viper.silver.ast.Type)","96 B (0%)","4 (0%)","20 (0%)","1’112.0","1"
"        viper.silicon.state.DefaultSymbolConverter$$Lambda$1323.998997461.apply (Object)","96 B (0%)","4 (0%)","20 (0%)","1’112.0","1"
"         scala.collection.immutable.List.map (scala.Function1)","96 B (0%)","4 (0%)","20 (0%)","1’112.0","1"
"          scala.collection.immutable.List.map (scala.Function1)","96 B (0%)","4 (0%)","20 (0%)","1’112.0","1"
"       viper.silicon.state.DefaultSymbolConverter.toFunction (viper.silver.ast.DomainFunc)","24 B (0%)","1 (0%)","5 (0%)","1’112.0","1"
"        viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$collectFunctions$2 (viper.silicon.supporters.BuiltinDomainsContributor, viper.silver.ast.DomainFunc)","24 B (0%)","1 (0%)","5 (0%)","1’112.0","1"
"         viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$collectFunctions$2$adapted (viper.silicon.supporters.BuiltinDomainsContributor, viper.silver.ast.DomainFunc)","24 B (0%)","1 (0%)","5 (0%)","1’112.0","1"
"          viper.silicon.supporters.BuiltinDomainsContributor$$Lambda$1839.2138359164.apply (Object)","24 B (0%)","1 (0%)","5 (0%)","1’112.0","1"
"     viper.silicon.supporters.BuiltinDomainsContributor.$anonfun$translateAxiom$2 (viper.silicon.supporters.BuiltinDomainsContributor, viper.silver.ast.Type)","384 B (0%)","16 (0%)","1’271 (0.2%)","1’134.1","4"
