File Name,Base Instances,Flyweight Instances,Hit Percentage,,
viper.silicon.state.terms.True,275642,1,99.9996372105847,27564100,
viper.silicon.state.terms.App,160728,17479,89.1251057687522,14324900,
viper.silicon.state.terms.Var,130799,13665,89.552672421043,11713400,
viper.silicon.state.terms.BuiltinEquals,116172,33038,71.5611334917192,8313400,
viper.silicon.state.terms.Fun,90388,15167,83.2201177147409,7522100,
viper.silicon.state.terms.Quantification,64460,23683,63.259385665529,4077700,
viper.silicon.state.terms.NoPerm,60837,1,99.9983562634581,6083600,
viper.silicon.state.terms.False,54851,1,99.9981768791818,5485000,
viper.silicon.state.terms.FunctionDecl,46018,15601,66.0980485896823,3041700,
viper.silicon.state.terms.Trigger,41271,6623,83.9524121053524,3464800,
viper.silicon.state.terms.Not,38627,8432,78.1707096072695,3019500,
viper.silicon.state.terms.IntLiteral,38249,41,99.8928076551021,3820800,
viper.silicon.state.terms.And,26354,13651,48.2014115504288,1270300,
viper.silicon.state.terms.DomainFun,24460,482,98.0294358135732,2397800,
viper.silicon.state.terms.FullPerm,23970,1,99.9958281184814,2396900,
viper.silicon.state.terms.Implies,23184,14776,36.2663906142167,840800,
viper.silicon.state.terms.Combine,22955,11445,50.1415813548247,1151000,
viper.silicon.state.terms.Lookup,22144,4853,78.0843569364162,1729100,
viper.silicon.state.terms.AtMost,18051,6553,63.697302088527,1149800,
viper.silicon.state.terms.Less,18029,8286,54.0407121859227,974300,
viper.silicon.state.terms.Second,15975,5053,68.3693270735524,1092200,
viper.silicon.state.terms.Null,14121,1,99.9929183485589,1412000,
viper.silicon.state.terms.First,12793,5053,60.5018369420777,774000,
viper.silicon.state.terms.HeapDepFun,10691,136,98.7279019736227,1055500,
viper.silicon.state.terms.FieldTrigger,9304,5197,44.1423043852107,410700,
viper.silicon.state.terms.Ite,8221,5824,29.1570368568301,239700,
viper.silicon.state.terms.PermLess,8205,3476,57.6355880560634,472900,
viper.silicon.state.terms.SortWrapper,6485,4272,34.1249036237471,221300,
viper.silicon.state.terms.Rational,5363,38,99.2914413574492,532500,
viper.silicon.state.terms.PermMinus,5340,4094,23.3333333333333,124600,
viper.silicon.state.terms.CustomEquals,5026,2206,56.108237166733,282000,
viper.silicon.state.terms.SortWrapperDecl,4018,110,97.2623195619711,390800,
viper.silicon.state.terms.Plus,3972,663,83.3081570996979,330900,
viper.silicon.state.terms.PermPlus,3840,3259,15.1302083333333,58100,
viper.silicon.state.terms.PermAtMost,3386,2279,32.6934435912581,110700,
viper.silicon.state.terms.Or,2807,735,73.8154613466334,207200,
viper.silicon.state.terms.SeqLength,2598,400,84.6035411855273,219800,
viper.silicon.state.terms.SeqAppend,2282,1219,46.5819456617003,106300,
viper.silicon.state.terms.Minus,2186,215,90.1646843549863,197100,
viper.silicon.state.terms.SetIn,1967,1093,44.4331469242501,87400,
viper.silicon.state.terms.FractionPermLiteral,1894,19,98.9968321013728,187500,
viper.silicon.state.terms.Domain,1719,993,42.2338568935428,72600,
viper.silicon.state.terms.PermMin,1672,1523,8.91148325358852,14900,
viper.silicon.state.terms.Macro,1589,801,49.5909376966646,78800,
viper.silicon.state.terms.MacroDecl,1589,1524,4.09062303335431,6500,
viper.silicon.state.terms.SeqSingleton,1226,76,93.8009787928222,115000,
viper.silicon.state.terms.SortDecl,1165,51,95.6223175965665,111400,
viper.silicon.state.terms.IsReadPermVar,1157,779,32.6707000864304,37800,
viper.silicon.state.terms.Times,936,167,82.1581196581197,76900,
viper.silicon.state.terms.SeqDrop,686,187,72.7405247813411,49900,
viper.silicon.state.terms.SeqAt,670,413,38.3582089552239,25700,
viper.silicon.state.terms.PermLookup,596,260,56.3758389261745,33600,
viper.silicon.state.terms.Let,483,55,88.6128364389234,42800,
viper.silicon.state.terms.AtLeast,440,264,40,17600,
viper.silicon.state.terms.Distinct,211,116,45.0236966824645,9500,
viper.silicon.state.terms.PredicateLookup,65,43,33.8461538461538,2200,
viper.silicon.state.terms.SetAdd,39,27,30.7692307692308,1200,
viper.silicon.state.terms.SeqNil,36,2,94.4444444444444,3400,
viper.silicon.state.terms.PredicateTrigger,30,28,6.66666666666667,200,
viper.silicon.state.terms.FractionPerm,29,5,82.7586206896552,2400,
viper.silicon.state.terms.PermTimes,28,28,0,0,
viper.silicon.state.terms.PermIntDiv,27,6,77.7777777777778,2100,
viper.silicon.state.terms.SetCardinality,25,7,72,1800,
viper.silicon.state.terms.SeqRanged,20,7,65,1300,
viper.silicon.state.terms.Div,20,10,50,1000,
viper.silicon.state.terms.MultisetAdd,19,16,15.7894736842105,300,
viper.silicon.state.terms.Iff,16,16,0,0,
viper.silicon.state.terms.SingletonSet,15,6,60,900,
viper.silicon.state.terms.PredicateDomain,11,11,0,0,
viper.silicon.state.terms.SeqIn,10,9,10,100,
viper.silicon.state.terms.Greater,10,1,90,900,
viper.silicon.state.terms.Mod,9,7,22.2222222222222,200,
viper.silicon.state.terms.SeqTake,8,6,25,200,
viper.silicon.state.terms.SeqUpdate,6,5,16.6666666666667,100,
viper.silicon.state.terms.SingletonMultiset,4,2,50,200,
viper.silicon.state.terms.SetSubset,4,4,0,0,
viper.silicon.state.terms.MultisetCount,3,3,0,0,
viper.silicon.state.terms.TriggerGenerator,2,2,0,0,
viper.silicon.state.terms.AxiomRewriter,2,2,0,0,
viper.silicon.state.terms.MultisetSubset,2,2,0,0,
viper.silicon.state.terms.EmptySet,1,1,0,0,
,1442243,,,119565700,82.9026037914554
